# 文字层坐标表 (x_pt, y_pt, 字高, 文本) —— 页面 A3(pt) 1786.25 x 861.48
# x=0.0
694.4	353.1	5.2	INA180A2IDBVR
168.7	195.4	5.2	GND
85.9	177.4	5.2	GND
188.2	132.7	5.2	GND
53.5	55.0	5.2	GND
148.6	39.1	5.2	GND
188.2	53.5	5.2	GND
168.7	177.4	5.2	GND
85.9	195.4	5.2	GND
53.5	134.2	5.2	GND
148.6	154.3	5.2	GND
708.8	277.5	5.2	R7
708.8	291.9	5.2	10m
719.0	292.6	5.2	Ω
136.4	90.3	5.2	USB-DM
546.8	529.5	5.2	USB-CC1
546.8	543.9	5.2	USB-DM
546.8	536.7	5.2	USB-DP
107.6	529.5	5.2	USB-CC2
136.4	104.7	5.2	USB-DM
136.4	61.5	5.2	USB-VBUS
136.4	126.3	5.2	USB-VBUS
136.4	111.9	5.2	USB-CC1
136.4	68.7	5.2	USB-CC2
136.4	97.5	5.2	USB-DP
136.4	83.1	5.2	USB-DP
161.6	65.1	5.2	R1
161.6	79.5	5.2	5.1k
171.5	80.2	5.2	Ω
161.6	108.3	5.2	R4
161.6	122.7	5.2	5.1k
171.5	123.4	5.2	Ω
363.2	72.3	5.2	C3
359.6	86.7	5.2	100nF
64.4	547.5	5.2	C14
50.0	558.3	5.2	1uF
125.6	194.7	5.2	D6
125.6	176.7	5.2	D5
42.8	194.7	5.2	D4
42.8	176.7	5.2	D3
489.2	144.3	5.2	C7
485.6	151.5	5.2	47pF
737.6	576.3	5.2	C16
737.6	583.5	5.2	10nF
428.0	306.3	5.2	C8
428.0	313.5	5.2	10nF
881.6	576.3	5.2	C18
881.6	583.5	5.2	10nF
809.6	576.3	5.2	C17
809.6	583.5	5.2	10nF
647.6	353.1	5.2	C11
647.6	360.3	5.2	10nF
1047.2	83.1	5.2	C6
1047.2	93.9	5.2	100nF
554.0	72.3	5.2	C5
554.0	83.1	5.2	100nF
435.2	39.9	5.2	C1
449.6	47.1	5.2	100nF
474.8	75.9	5.2	D1
456.8	129.9	5.2	R6
446.0	144.3	5.2	40.2k
